ADM_NM,GAT_embed0,GAT_embed1,GAT_embed2,GAT_embed3,GAT_embed4,GAT_embed5,GAT_embed6,GAT_embed7,GAT_embed8,GAT_embed9,GAT_embed10,GAT_embed11,GAT_embed12,GAT_embed13,GAT_embed14,GAT_embed15,GAT_embed16,GAT_embed17,GAT_embed18,GAT_embed19,GAT_embed20,GAT_embed21,GAT_embed22,GAT_embed23,GAT_embed24,GAT_embed25,GAT_embed26,GAT_embed27,GAT_embed28,GAT_embed29,GAT_embed30,GAT_embed31,GAT_embed32,GAT_embed33,GAT_embed34
사직동,-0.27600503,-0.9387891,-0.38636464,-0.6336411,-0.052587822,-0.13698275,-0.064865015,0.32796374,0.03486421,0.16706738,-0.10901853,-0.033556804,0.18457271,-0.7220952,-0.08841247,-0.44915947,-0.06519284,0.15568349,-0.104950935,0.73841035,-0.5935516,-0.40058738,-0.12366454,0.44300902,0.7199728,-0.69181687,0.4420097,0.43696734,0.29829326,0.18395466,0.24835528,0.5365696,0.72565955,-0.7368512,0.5555651
삼청동,-0.38891053,-0.47957528,-0.1700828,-0.24797547,-0.045668647,-0.14415832,0.017288616,-0.14885516,0.11716091,-0.026273519,0.09553558,-0.1822974,-0.028704032,-0.045895785,0.14115201,-0.35673484,-0.009543543,-0.006158483,-0.181972,0.3239825,-0.2998004,-0.13049224,-0.20954569,0.2970805,0.37894875,0.0060124956,0.24898362,-0.024687782,0.19927368,0.15407702,0.15986012,0.3647885,0.70978534,-0.2340972,0.32211763
부암동,-0.509648,-0.43382058,-0.07103953,-0.2566351,-0.0038902638,-0.13504592,0.060481176,-0.38922855,0.05335059,-0.0028531775,0.14847827,-0.26526225,0.016322955,0.24854846,0.09808463,-0.45253798,-0.022660911,-0.056602377,-0.13089314,0.2537362,-0.35515052,0.0034606336,-0.24440117,0.23070529,0.3313045,0.31364775,0.32117942,-0.10524468,0.05351812,0.08541325,0.20554297,0.30845153,0.909237,-0.13984092,0.37548056
평창동,-0.16022931,-0.2173692,0.36181527,-0.05313153,0.1957319,-0.13640285,0.1035473,-0.5406658,0.049811713,-0.010833416,-0.08505477,-0.14490299,0.3115223,0.54901385,-0.07849458,-0.19967055,0.061903734,0.042058546,-0.26581815,-0.04392544,-0.19876322,0.17828435,-0.30600983,-0.09542979,0.24300472,0.21851626,-0.008602925,-0.1461482,0.04143399,-0.013196704,0.12205455,0.33474687,0.85569245,-0.30666232,0.24631208
한남동,0.75473857,-0.4816288,0.44930878,1.631563,0.38859817,-0.24939048,-0.29296082,0.3620919,-0.5037417,-0.78441066,-0.5420319,-0.08404741,0.18474323,-0.5781599,0.06673285,-0.070652254,0.3667158,-1.1161565,1.2463591,-0.54263294,-0.39477655,-0.52156687,0.74989146,-0.37012905,0.94594216,-0.89965904,0.67657816,0.17616588,-0.16413775,-0.3718134,0.2932948,0.69480217,0.24811813,-0.67550635,0.3726873
왕십리2동,0.076176874,0.38150826,0.25418872,-0.3841692,0.045210287,-0.093265824,0.07157919,0.10651428,0.2687269,0.22170448,0.36759105,0.27656704,0.14008377,0.04204029,-0.23700076,-0.551818,-0.16387191,-0.3004545,0.4733333,0.46469203,0.15708749,0.2752878,-0.09777731,0.5915721,-0.08304173,0.84602416,0.6982233,-0.17085496,-0.90918124,0.17068763,0.39595646,-0.3865814,-1.0318567,0.560578,0.012269361
마장동,0.17768501,-0.19483928,0.24007411,-0.18436712,0.05336897,-0.1608164,0.16405722,-0.025776278,0.020080453,0.13232277,0.065236695,0.2528725,0.110771626,-0.16507792,-0.0054191477,-0.26210412,0.008393335,-0.002128423,0.87094927,0.43161753,0.12658231,-0.14021519,-0.30050808,0.37421274,0.32016152,0.17688659,0.08276513,0.16850948,-0.8536682,-0.03764281,0.4073695,0.06285482,-0.6811412,-0.16473134,-0.15923575
중림동,-0.23781537,-0.30081558,-0.30608684,-0.20698312,-0.1866835,-0.124543585,-0.13672093,0.5354643,0.24005109,0.10143814,0.062379964,0.09999837,0.036319785,-0.54629546,0.12324525,-0.3322817,-0.08467301,-0.040952053,-0.07068576,0.34048334,-0.076715514,-0.29037714,-0.020099215,0.3091393,0.34311932,-0.69168705,0.12976162,0.19320898,0.43194425,0.19203797,0.22204277,0.4761795,0.09080571,-0.59224176,0.2147612
옥수동,0.4694988,-0.24003424,0.34813517,1.1173501,0.24507864,-0.086449526,-0.147369,0.0197534,-0.2650128,-0.49699032,-0.29489356,-0.05549074,0.09166266,-0.3347821,0.08483753,-0.05214868,0.23775747,-0.7636695,1.0003537,-0.34376177,-0.204436,-0.4022714,0.3149764,-0.3963785,0.68654805,-0.5441499,0.44783282,0.21944138,-0.13808951,-0.2934042,0.27391714,0.42679855,0.10401183,-0.5125444,0.22334036
장충동,0.49918658,-0.24970499,0.27154672,1.0897372,0.27076066,-0.10011331,-0.25277895,0.33523706,-0.29479346,-0.49027216,-0.35768515,-0.05501062,0.059245825,-0.44882852,0.10578771,-0.119806044,0.2963628,-0.7231612,0.9376459,-0.4180121,-0.28924325,-0.41111708,0.32145128,-0.2809425,0.6882377,-0.68442184,0.42649364,0.2001016,-0.028421815,-0.33540463,0.16420603,0.44248426,0.042246122,-0.5953962,0.08374873
