ADM_NM,GCN_embed0,GCN_embed1,GCN_embed2,GCN_embed3,GCN_embed4,GCN_embed5,GCN_embed6,GCN_embed7,GCN_embed8,GCN_embed9,GCN_embed10,GCN_embed11,GCN_embed12,GCN_embed13,GCN_embed14,GCN_embed15,GCN_embed16,GCN_embed17,GCN_embed18,GCN_embed19,GCN_embed20,GCN_embed21,GCN_embed22,GCN_embed23,GCN_embed24,GCN_embed25,GCN_embed26,GCN_embed27,GCN_embed28,GCN_embed29,GCN_embed30,GCN_embed31,GCN_embed32,GCN_embed33,GCN_embed34
사직동,-0.113966554,-0.14576462,0.05356452,0.30714992,-0.11337562,0.10592684,-0.21425103,-0.072468966,-0.06850935,-0.021051604,0.030790007,-0.088727124,0.0016373582,-0.22475657,0.21393964,-0.0326923,0.10444399,-0.053460356,-0.41026133,0.042637195,0.028547635,0.13049985,0.06778393,0.22237223,-0.22364415,0.08445845,-0.1412073,0.10540978,-0.16037652,0.04298935,0.025558753,-0.034235805,0.01040528,0.17894103,-0.25892726
삼청동,-0.46006137,-0.41791973,0.29466522,1.075638,-0.6964395,0.52884835,-0.76858467,-0.12791818,-0.1856636,-0.15944862,0.20843118,-0.5448578,-0.12783855,-0.79973084,0.68593055,-0.00012303889,0.3554891,-0.16214445,-1.4571964,0.15150502,0.10402251,0.6669196,0.106620796,0.83145344,-0.89305764,0.16692954,-0.52878314,0.24809407,-0.6008107,0.2240185,0.21741591,-0.2601304,0.23486878,0.5614943,-0.91057044
부암동,-0.24078625,-0.24666092,0.2087158,0.6351046,-0.3643784,0.26901144,-0.48719788,-0.06491936,-0.11910702,-0.055924233,0.16587164,-0.34117663,-0.04244932,-0.42747343,0.38587108,-0.045263007,0.23286241,-0.12615226,-0.85058004,0.06368776,0.044815548,0.3683581,0.04498574,0.4440328,-0.5109497,0.050744157,-0.26729032,0.1230391,-0.3528172,0.13590509,0.16696765,-0.13653663,0.1914011,0.33641112,-0.5553642
평창동,-0.014308113,0.14344105,-0.20912792,0.14502971,-0.0024836883,-0.18723072,-0.19363102,-0.079846635,0.0020954972,0.056440435,-0.14240707,0.048723727,0.059358217,-0.19393824,-0.0038015563,0.0021807551,-0.09031535,-0.11429122,-0.30811,0.10210708,0.14709471,0.16599663,-0.0573292,0.14975718,-0.30377167,0.03879199,0.04641254,0.106894106,0.026962604,-0.0048984177,-0.02365012,0.029113818,0.03925807,0.2417387,0.009102529
한남동,-0.04474537,-0.002345033,0.0800778,0.029405965,-0.14981218,-0.018571984,0.17220013,-0.20519824,0.03298543,0.010236535,0.010147965,0.2514066,0.08362481,-0.15489866,0.08558914,-0.025950886,0.049062915,0.12507214,0.29512036,-0.12264544,-0.020781936,-0.18993743,-0.045153804,-0.2096572,-0.058766536,-0.024680741,0.094310656,-0.25285932,-0.036507316,-0.022769522,0.081767604,-0.006707797,0.13802971,0.12159734,0.14748207
왕십리2동,-0.05285801,-0.18494281,0.12803486,-0.10930068,0.053318843,-0.07578254,0.09892197,-0.08985781,-0.08997618,0.03773502,-0.12732059,0.026347617,0.18567845,-0.028455174,0.19599521,-0.008468546,0.08355789,0.10529825,-0.0076344134,-0.0021847151,-0.023728633,-0.1522029,-0.004719058,-0.033076845,0.0021892693,-0.094020724,0.06971495,0.11757361,0.0020918194,0.033352654,0.09160254,-0.0662964,0.08946355,-0.14237605,0.0018271115
마장동,-0.20961758,-0.91535115,0.44464016,-0.4745151,-0.10738641,-0.22386582,0.24479455,-0.39775202,-0.7475407,0.29889014,-0.29990053,-0.009466842,0.6213746,0.11286747,0.5696701,0.2453799,0.1762003,0.47526005,-0.49582195,0.088752836,0.1482366,-0.49691367,0.24599087,0.13006918,-0.046966206,-0.55294615,0.17989932,0.23444737,-0.10483525,0.6204428,0.14267607,-0.05140941,0.60665387,-0.58913606,-0.02683306
중림동,-0.36276,-0.33957928,0.13800415,0.9033459,-0.687853,0.45824876,-0.5397913,-0.16386232,-0.15566084,-0.14800361,0.20376137,-0.42678887,-0.11089447,-0.58113474,0.5932895,-0.029534321,0.29067034,-0.19619942,-1.1394554,0.16248849,0.054282486,0.44251326,0.2526068,0.63095564,-0.5625704,0.27383167,-0.45280218,0.18218729,-0.49307713,0.17624208,0.15849741,-0.18945868,0.052934807,0.47227138,-0.8590352
옥수동,-0.12982638,0.016261801,0.19172649,0.07010108,-0.53248817,-0.0065240357,0.47495934,-0.5480504,0.094091244,-0.014906518,0.038064886,0.5920964,0.17430268,-0.4186515,0.19495443,0.028400302,0.08871647,0.37845588,0.7384478,-0.28227088,-0.015535567,-0.47115633,-0.08937301,-0.49803624,-0.1334474,-0.071172655,0.26953906,-0.65771085,-0.12518013,-0.057579953,0.1793645,-0.054059826,0.377203,0.3126185,0.38448393
장충동,-0.11719616,0.01473704,0.17136008,0.06693673,-0.48690784,-0.0029091127,0.43627065,-0.5079978,0.07929901,-0.016504303,0.030705655,0.5509987,0.16500273,-0.38488737,0.18470396,0.017063372,0.078715034,0.33962148,0.687189,-0.25940236,-0.021439152,-0.43313348,-0.08764722,-0.4621174,-0.12735787,-0.063007526,0.24119872,-0.6031632,-0.11791206,-0.053247236,0.16852404,-0.051070586,0.34715846,0.29353645,0.35573032
