ADM_NM,road_count,total_length,tunnel_count_general,tunnel_count_building_passage,bridge_count_general,bridge_count_viaduct,highway_count_residential,highway_count_primary,highway_count_tertiary,highway_count_living_street,highway_count_busway,highway_count_tertiary_link,highway_count_primary_link,highway_count_secondary,highway_count_secondary_link,highway_count_unclassified,highway_count_trunk,highway_count_trunk_link,highway_count_motorway_link,highway_count_crossing,highway_count_road,highway_count_motorway,area
사직동,214,22040.494999999995,0,0,0,0,84.0,45.0,30.0,26.0,13.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157671.299618873
삼청동,17,3477.4220000000005,0,0,0,0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476086.2449180519
부암동,375,36188.775,0,0,14,0,295.0,12.0,28.0,0.0,0.0,13.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2273044.409135323
평창동,717,74985.331,0,0,4,0,675.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8940655.329910902
한남동,1140,80463.446,2,0,5,0,952.0,34.0,44.0,0.0,0.0,2.0,2.0,72.0,31.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3029614.7181669916
왕십리2동,238,12807.043,0,0,0,0,220.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,372143.4604809016
마장동,727,43315.92599999999,1,0,0,0,592.0,35.0,12.0,2.0,0.0,0.0,0.0,70.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1034489.2918125634
중림동,175,12497.977000000003,0,0,0,0,111.0,0.0,29.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484023.1638610667
옥수동,172,14509.176,0,0,1,0,111.0,0.0,28.0,2.0,0.0,0.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920719.0901088512
장충동,278,17656.325,0,0,0,0,213.0,30.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1017158.9421084368
광희동,522,29900.887000000002,23,0,0,0,345.0,9.0,12.0,0.0,0.0,0.0,0.0,133.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,736648.8912996374
사근동,422,25917.17,0,0,3,0,304.0,0.0,32.0,0.0,0.0,2.0,0.0,71.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1168326.7093076135
후암동,465,29518.032,0,0,0,0,384.0,0.0,4.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865244.0803747667
용산2가동,533,27271.292,0,0,0,0,426.0,15.0,58.0,8.0,0.0,0.0,0.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965379.6463284902
남영동,217,15667.350000000002,0,0,0,0,159.0,29.0,0.0,0.0,5.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176908.797605574
원효로2동,243,16125.385999999999,0,0,2,0,154.0,0.0,34.0,0.0,0.0,2.0,0.0,47.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,708448.6920711038
효창동,250,12283.366,0,0,0,0,208.0,0.0,15.0,0.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445853.90289658145
용문동,227,11858.762,0,0,0,0,178.0,0.0,14.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277325.0017998565
이태원1동,322,20999.015,0,0,0,0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582461.1004864456
